Pair_mouse,Experimental condition information,Human Gender,Condition
ERR1763317 ,367.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d56,,367.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d56
ERR1763318 ,368.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d1,,368.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d1
ERR1763319 ,369.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d1.5,,369.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d1.5
ERR1763321 ,370.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d2; mouse gut metagenome,,370.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d2; mouse gut metagenome
ERR1763322 ,371.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d8; mouse gut metagenome,,371.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d8; mouse gut metagenome
ERR1763323 ,372.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d15,,372.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d15
ERR1763324 ,373.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d22; mouse gut metagenome,,373.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d22; mouse gut metagenome
ERR1763325 ,374.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d29; mouse gut metagenome,,374.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d29; mouse gut metagenome
ERR1763326 ,375.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d36,,375.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d36
ERR1763327 ,376.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d48,,376.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d48
ERR1763328 ,377.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d54,,377.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d54
ERR1763329 ,378.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d55,,378.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d55
ERR1763330 ,379.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d56; mouse gut metagenome,,379.MF.Mfec.CRON3.M3.CRONdiet.AdLib.d56; mouse gut metagenome
ERR1763332 ,380.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d0.5,,380.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d0.5
ERR1763333 ,381.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d1,,381.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d1
ERR1763334 ,382.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d1.5; mouse gut metagenome,,382.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d1.5; mouse gut metagenome
ERR1763335 ,383.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d2,,383.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d2
ERR1763336 ,384.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d8; mouse gut metagenome,,384.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d8; mouse gut metagenome
ERR1763337 ,385.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d15,,385.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d15
ERR1763338 ,386.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d22; mouse gut metagenome,,386.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d22; mouse gut metagenome
ERR1763339 ,387.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d29; mouse gut metagenome,,387.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d29; mouse gut metagenome
ERR1763340 ,388.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d36,,388.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d36
ERR1763341 ,389.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d48,,389.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d48
ERR1763343 ,390.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d54,,390.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d54
ERR1763344 ,391.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d55,,391.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d55
ERR1763345 ,392.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d56,,392.MF.Mfec.CRON4.M2.CRONdiet.Restricted.d56
ERR1763346 ,393.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d1,,393.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d1
ERR1763347 ,394.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d1.5; mouse gut metagenome,,394.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d1.5; mouse gut metagenome
ERR1763348 ,395.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d2; mouse gut metagenome,,395.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d2; mouse gut metagenome
ERR1763349 ,396.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d8,,396.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d8
ERR1763350 ,397.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d15,,397.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d15
ERR1763351 ,398.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d22; mouse gut metagenome,,398.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d22; mouse gut metagenome
ERR1763352 ,399.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d29,,399.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d29
ERR1763355 ,400.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d36,,400.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d36
ERR1763356 ,401.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d48,,401.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d48
ERR1763357 ,402.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d54,,402.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d54
ERR1763358 ,403.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d56,,403.MF.Mfec.CRON4.M3.CRONdiet.AdLib.d56
ERR1763359 ,404.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d0.5; mouse gut metagenome,,404.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d0.5; mouse gut metagenome
ERR1763360 ,405.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d1; mouse gut metagenome,,405.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d1; mouse gut metagenome
ERR1763361 ,406.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d1.5,,406.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d1.5
ERR1763362 ,407.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d2,,407.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d2
ERR1763363 ,408.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d8,,408.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d8
ERR1763364 ,409.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d15,,409.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d15
ERR1763366 ,410.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d22; mouse gut metagenome,,410.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d22; mouse gut metagenome
ERR1763367 ,411.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d29; mouse gut metagenome,,411.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d29; mouse gut metagenome
ERR1763368 ,412.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d36,,412.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d36
ERR1763369 ,413.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d48,,413.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d48
ERR1763370 ,414.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d54,,414.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d54
ERR1763371 ,415.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d55; mouse gut metagenome,,415.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d55; mouse gut metagenome
ERR1763372 ,416.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d56,,416.MF.Mfec.CRON5.M1.AMERdiet.AdLib.d56
ERR1763373 ,417.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d0.5; mouse gut metagenome,,417.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d0.5; mouse gut metagenome
ERR1763374 ,418.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d1; mouse gut metagenome,,418.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d1; mouse gut metagenome
ERR1763375 ,419.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d1.5,,419.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d1.5
ERR1763377 ,420.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d2,,420.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d2
ERR1763378 ,421.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d8,,421.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d8
ERR1763379 ,422.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d15; mouse gut metagenome,,422.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d15; mouse gut metagenome
ERR1763380 ,423.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d22; mouse gut metagenome,,423.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d22; mouse gut metagenome
ERR1763381 ,424.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d29; mouse gut metagenome,,424.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d29; mouse gut metagenome
ERR1763382 ,425.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d36; mouse gut metagenome,,425.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d36; mouse gut metagenome
ERR1763383 ,426.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d48; mouse gut metagenome,,426.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d48; mouse gut metagenome
ERR1763384 ,427.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d54; mouse gut metagenome,,427.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d54; mouse gut metagenome
ERR1763385 ,428.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d55,,428.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d55
ERR1763386 ,429.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d56,,429.MF.Mfec.CRON5.M2.CRONdiet.Restricted.d56
ERR1763388 ,430.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d0; mouse gut metagenome,,430.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d0; mouse gut metagenome
ERR1763389 ,431.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d1,,431.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d1
ERR1763390 ,432.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d1.5,,432.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d1.5
ERR1763391 ,433.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d2,,433.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d2
ERR1763392 ,434.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d8,,434.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d8
ERR1763393 ,435.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d15,,435.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d15
ERR1763394 ,436.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d22,,436.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d22
ERR1763395 ,437.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d29; mouse gut metagenome,,437.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d29; mouse gut metagenome
ERR1763396 ,438.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d36,,438.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d36
ERR1763397 ,439.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d48; mouse gut metagenome,,439.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d48; mouse gut metagenome
ERR1763399 ,440.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d54; mouse gut metagenome,,440.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d54; mouse gut metagenome
ERR1763400 ,441.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d56; mouse gut metagenome,,441.MF.Mfec.CRON5.M3.CRONdiet.AdLib.d56; mouse gut metagenome
ERR1763401 ,442.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d0.5; mouse gut metagenome,,442.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d0.5; mouse gut metagenome
ERR1763402 ,443.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d1,,443.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d1
ERR1763403 ,444.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d1.5; mouse gut metagenome,,444.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d1.5; mouse gut metagenome
ERR1763404 ,445.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d8,,445.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d8
ERR1763405 ,446.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d15; mouse gut metagenome,,446.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d15; mouse gut metagenome
ERR1763406 ,447.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d22,,447.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d22
ERR1763407 ,448.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d29,,448.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d29
ERR1763408 ,449.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d36,,449.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d36
ERR1763410 ,450.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d48; mouse gut metagenome,,450.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d48; mouse gut metagenome
ERR1763411 ,451.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d54,,451.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d54
ERR1763412 ,452.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d56,,452.MF.Mfec.AMER1.M1.AMERdiet.AdLib.d56
ERR1763413 ,453.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d0.5,,453.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d0.5
ERR1763414 ,454.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d1,,454.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d1
ERR1763415 ,455.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d1.5; mouse gut metagenome,,455.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d1.5; mouse gut metagenome
ERR1763416 ,456.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d2; mouse gut metagenome,,456.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d2; mouse gut metagenome
ERR1763417 ,457.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d15,,457.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d15
ERR1763418 ,458.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d22; mouse gut metagenome,,458.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d22; mouse gut metagenome
ERR1763419 ,459.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d29,,459.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d29
ERR1763421 ,460.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d36,,460.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d36
ERR1763422 ,461.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d48,,461.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d48
ERR1763423 ,462.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d54; mouse gut metagenome,,462.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d54; mouse gut metagenome
ERR1763424 ,463.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d56,,463.MF.Mfec.AMER1.M2.CRONdiet.Restricted.d56
ERR1763425 ,464.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d0.5,,464.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d0.5
ERR1763426 ,465.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d1,,465.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d1
ERR1763427 ,466.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d1.5,,466.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d1.5
ERR1763428 ,467.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d2,,467.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d2
ERR1763429 ,468.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d8; mouse gut metagenome,,468.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d8; mouse gut metagenome
ERR1763430 ,469.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d15,,469.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d15
ERR1763432 ,470.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d22,,470.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d22
ERR1763433 ,471.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d29; mouse gut metagenome,,471.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d29; mouse gut metagenome
ERR1763434 ,472.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d36,,472.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d36
ERR1763435 ,473.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d48,,473.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d48
ERR1763436 ,474.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d54,,474.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d54
ERR1763437 ,475.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d56,,475.MF.Mfec.AMER1.M3.AMERdiet.Restricted.d56
ERR1763438 ,476.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d0.5,,476.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d0.5
ERR1763439 ,477.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d1; mouse gut metagenome,,477.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d1; mouse gut metagenome
ERR1763440 ,478.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d1.5; mouse gut metagenome,,478.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d1.5; mouse gut metagenome
ERR1763443 ,480.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d8,,480.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d8
ERR1763444 ,481.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d15; mouse gut metagenome,,481.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d15; mouse gut metagenome
ERR1763445 ,482.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d22; mouse gut metagenome,,482.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d22; mouse gut metagenome
ERR1763446 ,483.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d29; mouse gut metagenome,,483.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d29; mouse gut metagenome
ERR1763447 ,484.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d36,,484.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d36
ERR1763448 ,485.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d54,,485.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d54
ERR1763449 ,486.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d55; mouse gut metagenome,,486.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d55; mouse gut metagenome
ERR1763450 ,487.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d56,,487.MF.Mfec.AMER2.M2.CRONdiet.Restricted.d56
ERR1763451 ,488.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d0.5,,488.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d0.5
ERR1763452 ,489.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d1,,489.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d1
ERR1763454 ,490.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d1.5; mouse gut metagenome,,490.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d1.5; mouse gut metagenome
ERR1763455 ,491.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d2; mouse gut metagenome,,491.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d2; mouse gut metagenome
ERR1763456 ,492.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d8,,492.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d8
ERR1763457 ,493.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d15,,493.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d15
ERR1763458 ,494.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d22,,494.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d22
ERR1763459 ,495.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d36,,495.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d36
ERR1763460 ,496.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d54; mouse gut metagenome,,496.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d54; mouse gut metagenome
ERR1763461 ,497.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d55; mouse gut metagenome,,497.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d55; mouse gut metagenome
ERR1763462 ,498.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d56,,498.MF.Mfec.AMER2.M3.AMERdiet.Restricted.d56
ERR1763463 ,499.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d0.5; mouse gut metagenome,,499.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d0.5; mouse gut metagenome
ERR1763466 ,500.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d1; mouse gut metagenome,,500.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d1; mouse gut metagenome
ERR1763467 ,501.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d1.5,,501.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d1.5
ERR1763468 ,502.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d8,,502.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d8
ERR1763469 ,503.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d15,,503.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d15
ERR1763470 ,504.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d22,,504.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d22
ERR1763471 ,505.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d29,,505.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d29
ERR1763472 ,506.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d36,,506.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d36
ERR1763473 ,507.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d48; mouse gut metagenome,,507.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d48; mouse gut metagenome
ERR1763474 ,508.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d54,,508.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d54
ERR1763475 ,509.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d55,,509.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d55
ERR1763477 ,510.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d56,,510.MF.Mfec.AMER3.M1.AMERdiet.AdLib.d56
ERR1763478 ,511.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d0,,511.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d0
ERR1763479 ,512.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d0.5,,512.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d0.5
ERR1763480 ,513.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d1,,513.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d1
ERR1763481 ,514.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d1.5,,514.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d1.5
ERR1763482 ,515.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d2; mouse gut metagenome,,515.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d2; mouse gut metagenome
ERR1763483 ,516.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d8,,516.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d8
ERR1763484 ,517.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d15,,517.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d15
ERR1763485 ,518.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d22,,518.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d22
ERR1763486 ,519.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d29; mouse gut metagenome,,519.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d29; mouse gut metagenome
ERR1763488 ,520.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d36; mouse gut metagenome,,520.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d36; mouse gut metagenome
ERR1763489 ,521.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d48; mouse gut metagenome,,521.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d48; mouse gut metagenome
ERR1763490 ,522.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d54,,522.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d54
ERR1763491 ,523.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d55,,523.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d55
ERR1763492 ,524.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d56,,524.MF.Mfec.AMER3.M2.CRONdiet.Restricted.d56
ERR1763493 ,525.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d0.5,,525.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d0.5
ERR1763494 ,526.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d1; mouse gut metagenome,,526.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d1; mouse gut metagenome
ERR1763495 ,527.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d2,,527.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d2
ERR1763496 ,528.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d8; mouse gut metagenome,,528.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d8; mouse gut metagenome
ERR1763497 ,529.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d15,,529.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d15
ERR1763499 ,530.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d22; mouse gut metagenome,,530.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d22; mouse gut metagenome
ERR1763500 ,531.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d29,,531.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d29
ERR1763501 ,532.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d36,,532.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d36
ERR1763502 ,533.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d48,,533.MF.Mfec.AMER4.M1.AMERdiet.AdLib.d48
