Pair_mouse,Experimental condition information,Human Gender,Condition
ERR1763192 ,254.MF.Input.CRON4.sample1,,254.MF.Input.CRON4.sample1
ERR1763193 ,255.MF.Input.CRON4.sample2; human gut metagenome,,255.MF.Input.CRON4.sample2; human gut metagenome
ERR1763194 ,256.MF.Input.CRON5.sample1,,256.MF.Input.CRON5.sample1
ERR1763195 ,257.MF.Input.CRON5.sample2,,257.MF.Input.CRON5.sample2
ERR1763196 ,258.MF.Input.AMER1.sample1; human gut metagenome,,258.MF.Input.AMER1.sample1; human gut metagenome
ERR1763197 ,259.MF.Input.AMER1.sample2; human gut metagenome,,259.MF.Input.AMER1.sample2; human gut metagenome
ERR1763199 ,260.MF.Input.AMER2.sample1; human gut metagenome,,260.MF.Input.AMER2.sample1; human gut metagenome
ERR1763200 ,261.MF.Input.AMER2.sample2,,261.MF.Input.AMER2.sample2
ERR1763201 ,262.MF.Input.AMER3.sample1,,262.MF.Input.AMER3.sample1
ERR1763202 ,263.MF.Input.AMER3.sample2,,263.MF.Input.AMER3.sample2
ERR1763203 ,264.MF.Input.AMER4.sample1,,264.MF.Input.AMER4.sample1
ERR1763204 ,265.MF.Input.AMER4.sample2,,265.MF.Input.AMER4.sample2
ERR1763205 ,266.MF.Input.AMER5.sample1,,266.MF.Input.AMER5.sample1
ERR1763206 ,267.MF.Input.AMER5.sample2,,267.MF.Input.AMER5.sample2
ERR1763207 ,268.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d1.5,,268.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d1.5
ERR1763208 ,269.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d2,,269.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d2
ERR1763210 ,270.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d8,,270.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d8
ERR1763211 ,271.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d15,,271.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d15
ERR1763212 ,272.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d22; mouse gut metagenome,,272.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d22; mouse gut metagenome
