"","mouse","condition","fed","Genus","humanPer","mousePer","reduced_pct"
"123","ERR1310099","Infantformula","humanfood","Ruminococcus",3.160718451,7.286002796,1.204875019
"124","ERR1310099","Infantformula","humanfood","Ruminiclostridium",0.507347796,0.124281498,-2.029363548
"125","ERR1310100","Infantformula","humanfood","Streptococcus",4.350361558,0.213556909,-4.348442831
"126","ERR1310100","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,2.41240212,2.583842463
"127","ERR1310100","Infantformula","humanfood","Lachnoclostridium",1.522043387,4.02594321,1.403317337
"128","ERR1310100","Infantformula","humanfood","Ruminiclostridium",0.507347796,0.181918848,-1.479680052
"129","ERR1310100","Infantformula","humanfood","Hespellia",0.944716585,3.741200664,1.985547858
"130","ERR1310100","Infantformula","humanfood","Bifidobacterium",13.50011663,2.926520604,-2.20571353
"131","ERR1310100","Infantformula","humanfood","Ruminococcus",3.160718451,12.29138654,1.959323235
"132","ERR1310101","Infantformula","humanfood","Bacteroides",1.246537396,40.79202025,5.03228889
"133","ERR1310101","Infantformula","humanfood","Eubacterium",1.500461681,0.669941938,-1.163298503
"134","ERR1310101","Infantformula","humanfood","Ruminiclostridium",4.224376731,0.446627959,-3.241593029
"135","ERR1310101","Infantformula","humanfood","Anaerostipes",0.39242844,0.253089177,-0.632783786
"136","ERR1310101","Infantformula","humanfood","Ruminococcus",9.072022161,2.233139795,-2.022350598
"137","ERR1310101","Infantformula","humanfood","Lachnoclostridium",2.16989843,5.850826262,1.431012865
"138","ERR1310101","Infantformula","humanfood","Hespellia",0.992613112,0.878368319,-0.176405491
"139","ERR1310101","Infantformula","humanfood","Bifidobacterium",35.50323176,0.178651184,-7.634661073
"140","ERR1310101","Infantformula","humanfood","Roseburia",3.78578024,0.163763585,-4.530904172
"141","ERR1310102","Infantformula","humanfood","Eubacterium",1.500461681,0.729927007,-1.039582368
"142","ERR1310102","Infantformula","humanfood","Anaerostipes",0.39242844,2.150325508,2.454053563
"143","ERR1310102","Infantformula","humanfood","Ruminiclostridium",4.224376731,0.473466167,-3.157405259
"144","ERR1310102","Infantformula","humanfood","Lachnoclostridium",2.16989843,14.79581772,2.769490013
"145","ERR1310102","Infantformula","humanfood","Ruminococcus",9.072022161,1.400670744,-2.695306304
"146","ERR1310102","Infantformula","humanfood","Hespellia",0.992613112,1.647267706,0.730771617
"147","ERR1310102","Infantformula","humanfood","Bacteroides",1.246537396,48.84592622,5.292240176
"148","ERR1310103","Infantformula","humanfood","Ruminococcus",9.072022161,11.81344381,0.380933525
"149","ERR1310103","Infantformula","humanfood","Roseburia",3.78578024,0.935453695,-2.01685252
"150","ERR1310103","Infantformula","humanfood","Bifidobacterium",35.50323176,2.418815983,-3.875577433
"151","ERR1310103","Infantformula","humanfood","Ruminiclostridium",4.224376731,0.50781772,-3.056355857
"152","ERR1310103","Infantformula","humanfood","Hespellia",0.992613112,1.069089937,0.107079808
"153","ERR1310103","Infantformula","humanfood","Eubacterium",1.500461681,0.334090605,-2.167095155
"154","ERR1310103","Infantformula","humanfood","Bacteroides",1.246537396,55.01804089,5.463906699
"155","ERR1310103","Infantformula","humanfood","Lachnoclostridium",2.16989843,3.928905519,0.856499961
"156","ERR1310103","Infantformula","humanfood","Anaerostipes",0.39242844,2.432179607,2.631748267
"157","ERR1310104","Infantformula","humanfood","Ruminococcus",9.072022161,1.871069182,-2.277561262
"158","ERR1310104","Infantformula","humanfood","Bifidobacterium",35.50323176,2.012578616,-4.140833311
"159","ERR1310104","Infantformula","humanfood","Anaerostipes",0.39242844,0.267295597,-0.553993523
"160","ERR1310104","Infantformula","humanfood","Ruminiclostridium",4.224376731,0.691823899,-2.610261742
"161","ERR1310104","Infantformula","humanfood","Bacteroides",1.246537396,17.81446541,3.837051121
"162","ERR1310104","Infantformula","humanfood","Eubacterium",1.500461681,0.188679245,-2.991398835
"163","ERR1310104","Infantformula","humanfood","Hespellia",0.992613112,0.817610063,-0.279818559
"164","ERR1310104","Infantformula","humanfood","Lachnoclostridium",2.16989843,9.779874214,2.172188396
"165","ERR1310104","Infantformula","humanfood","Roseburia",3.78578024,0.471698113,-3.004654932
"166","ERR1310104","Infantformula","humanfood","Streptococcus",7.779316713,0.204402516,-5.250158586
"167","ERR1310105","Infantformula","humanfood","Bacteroides",1.246537396,20.28839705,4.024656815
"168","ERR1310105","Infantformula","humanfood","Ruminiclostridium",4.224376731,0.670690812,-2.655018758
"169","ERR1310105","Infantformula","humanfood","Hespellia",0.992613112,1.224010731,0.30231279
"170","ERR1310105","Infantformula","humanfood","Eubacterium",1.500461681,0.251509054,-2.576724232
"171","ERR1310105","Infantformula","humanfood","Ruminococcus",9.072022161,3.957075788,-1.196989468
"172","ERR1310105","Infantformula","humanfood","Lachnoclostridium",2.16989843,9.020791415,2.055626496
"173","ERR1310105","Infantformula","humanfood","Anaerostipes",0.39242844,0.486250838,0.309271139
"174","ERR1310105","Infantformula","humanfood","Bifidobacterium",35.50323176,0.687458082,-5.690534798
"175","ERR1310105","Infantformula","humanfood","Roseburia",3.78578024,0.184439973,-4.359367401
"176","ERR1310105","Infantformula","humanfood","Streptococcus",7.779316713,0.536552649,-3.857851796
"177","ERR1310106","Infantformula+fruitsandvegetables","humanfood","Bacteroides",1.246537396,15.99323038,3.6814633
"178","ERR1310106","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",9.072022161,2.496297863,-1.861634075
"179","ERR1310106","Infantformula+fruitsandvegetables","humanfood","Anaerostipes",0.39242844,0.275015866,-0.512914745
"180","ERR1310106","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.992613112,1.607785065,0.695771137
"181","ERR1310106","Infantformula+fruitsandvegetables","humanfood","Streptococcus",7.779316713,0.169240533,-5.522496403
"182","ERR1310106","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",4.224376731,1.036598265,-2.026881616
"183","ERR1310106","Infantformula+fruitsandvegetables","humanfood","Roseburia",3.78578024,0.105775333,-5.161515531
"184","ERR1310106","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",2.16989843,9.244764121,2.091008996
"185","ERR1310106","Infantformula+fruitsandvegetables","humanfood","Eubacterium",1.500461681,0.655807066,-1.194063124
"186","ERR1310107","Infantformula+fruitsandvegetables","humanfood","Anaerostipes",0.39242844,2.215980025,2.497443373
"187","ERR1310107","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",9.072022161,7.880774032,-0.203086829
"188","ERR1310107","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",35.50323176,2.871410737,-3.628118737
"189","ERR1310107","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",2.16989843,4.775280899,1.137958086
"190","ERR1310107","Infantformula+fruitsandvegetables","humanfood","Bacteroides",1.246537396,55.97690387,5.488833623
"191","ERR1310107","Infantformula+fruitsandvegetables","humanfood","Eubacterium",1.500461681,0.327715356,-2.194891295
"192","ERR1310107","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.992613112,1.029962547,0.05328846
"193","ERR1310107","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",4.224376731,0.343320849,-3.621109124
"194","ERR1310107","Infantformula+fruitsandvegetables","humanfood","Roseburia",3.78578024,1.248439451,-1.600464815
"195","ERR1310108","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",9.072022161,1.504702194,-2.591946183
"196","ERR1310108","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.992613112,1.755485893,0.822566986
"197","ERR1310108","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",4.224376731,0.232870578,-4.181138223
"198","ERR1310108","Infantformula+fruitsandvegetables","humanfood","Eubacterium",1.500461681,0.707568294,-1.084465168
"199","ERR1310108","Infantformula+fruitsandvegetables","humanfood","Bacteroides",1.246537396,55.71876399,5.482165186
"200","ERR1310108","Infantformula+fruitsandvegetables","humanfood","Anaerostipes",0.39242844,3.28705777,3.066295308
"201","ERR1310108","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",2.16989843,11.45544111,2.400333594
"202","ERR1310109","Infantformula+fruitsandvegetables","humanfood","Streptococcus",7.779316713,0.293577982,-4.727827768
"203","ERR1310109","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",2.16989843,10.93577982,2.333356682
"204","ERR1310109","Infantformula+fruitsandvegetables","humanfood","Eubacterium",1.500461681,0.403669725,-1.894159181
"205","ERR1310109","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",35.50323176,1.486238532,-4.578212772
"206","ERR1310109","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",9.072022161,2.201834862,-2.042717894
"207","ERR1310109","Infantformula+fruitsandvegetables","humanfood","Bacteroides",1.246537396,28.44036697,4.511942011
"208","ERR1310109","Infantformula+fruitsandvegetables","humanfood","Anaerostipes",0.39242844,0.403669725,0.04074579
"209","ERR1310109","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",4.224376731,0.880733945,-2.261960325
"210","ERR1310109","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.992613112,1.266055046,0.351036715
"211","ERR1310110","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",4.224376731,0.745832115,-2.501815676
"212","ERR1310110","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",35.50323176,0.906697865,-5.291184657
"213","ERR1310110","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",2.16989843,8.642878035,1.993884289
"214","ERR1310110","Infantformula+fruitsandvegetables","humanfood","Streptococcus",7.779316713,0.438724773,-4.148255365
"215","ERR1310110","Infantformula+fruitsandvegetables","humanfood","Bacteroides",1.246537396,19.80111144,3.989583342
"216","ERR1310110","Infantformula+fruitsandvegetables","humanfood","Eubacterium",1.500461681,0.482597251,-1.636514873
"217","ERR1310110","Infantformula+fruitsandvegetables","humanfood","Anaerostipes",0.39242844,0.482597251,0.298390098
"218","ERR1310110","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.992613112,1.403919275,0.500156566
"219","ERR1310110","Infantformula+fruitsandvegetables","humanfood","Roseburia",3.78578024,0.16086575,-4.556661566
"220","ERR1310110","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",9.072022161,3.758408891,-1.271302133
"221","ERR1310111","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",9.072022161,1.393188854,-2.703033328
"222","ERR1310111","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",35.50323176,0.247678019,-7.16334071
"223","ERR1310111","Infantformula+fruitsandvegetables","humanfood","Eubacterium",1.500461681,0.510835913,-1.554474616
"224","ERR1310111","Infantformula+fruitsandvegetables","humanfood","Anaerostipes",0.39242844,0.216718266,-0.856608841
"225","ERR1310111","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",4.224376731,0.526315789,-3.004737919
"226","ERR1310111","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.992613112,0.820433437,-0.274845222
"227","ERR1310111","Infantformula+fruitsandvegetables","humanfood","Bacteroides",1.246537396,36.82662539,4.884751132
"228","ERR1310111","Infantformula+fruitsandvegetables","humanfood","Roseburia",3.78578024,0.185758514,-4.349090426
"229","ERR1310111","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",2.16989843,9.938080495,2.195339713
"230","ERR1310112","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",4.224376731,0.440749274,-3.260708403
"231","ERR1310112","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",2.16989843,10.78834018,2.3137735
"232","ERR1310112","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.992613112,1.592707603,0.682178017
